epoch,total_acc,group0_acc,group1_acc,group2_acc,group3_acc,split_acc,loss,avg_margin,group0_margin,group1_margin,group2_margin,group3_margin
1,0.9040,0.7160,0.7016,0.5843,0.0036,0.6855,0.1844,0.5435,0.6568,0.5423,0.4509,-3.7248
2,0.9310,0.8427,0.9025,0.7409,0.0000,0.8458,0.1328,2.0043,2.0475,2.3575,1.1889,-3.8068
3,0.9368,0.8708,0.9292,0.7694,0.0000,0.8731,0.1146,2.5883,2.5982,3.0807,1.4827,-3.4344
4,0.9396,0.8811,0.9414,0.7845,0.0000,0.8848,0.1037,2.9053,2.9144,3.4472,1.6594,-3.1369
5,0.9418,0.8882,0.9467,0.7955,0.0000,0.8917,0.1038,3.1299,3.1496,3.7041,1.7559,-2.9090
6,0.9437,0.8947,0.9516,0.8058,0.0000,0.8980,0.0944,3.3015,3.3297,3.8939,1.8484,-2.7485
7,0.9449,0.8993,0.9547,0.8129,0.0065,0.9023,0.0933,3.4316,3.4864,4.0204,1.9054,-2.6174
8,0.9461,0.9034,0.9565,0.8198,0.0123,0.9059,0.0857,3.5448,3.6215,4.1256,1.9735,-2.5034
9,0.9476,0.9069,0.9591,0.8261,0.0252,0.9095,0.0845,3.6458,3.7349,4.2324,2.0179,-2.3883
10,0.9479,0.9107,0.9609,0.8269,0.0375,0.9121,0.0833,3.7466,3.8514,4.3357,2.0612,-2.2698
11,0.9488,0.9131,0.9625,0.8324,0.0497,0.9147,0.0804,3.8264,3.9460,4.4144,2.1006,-2.2329
12,0.9496,0.9152,0.9639,0.8350,0.0562,0.9166,0.0780,3.8935,4.0181,4.4812,2.1530,-2.1706
13,0.9500,0.9173,0.9655,0.8382,0.0562,0.9186,0.0769,3.9572,4.0961,4.5421,2.1798,-2.0974
14,0.9504,0.9200,0.9663,0.8384,0.0714,0.9203,0.0749,4.0181,4.1663,4.6038,2.2091,-2.0277
15,0.9511,0.9218,0.9683,0.8417,0.0815,0.9225,0.0723,4.0922,4.2392,4.6940,2.2398,-1.9537
16,0.9509,0.9226,0.9683,0.8420,0.0844,0.9229,0.0729,4.1367,4.2895,4.7427,2.2551,-1.9258
17,0.9517,0.9250,0.9695,0.8458,0.0988,0.9251,0.0722,4.1990,4.3499,4.8162,2.2916,-1.8848
18,0.9523,0.9264,0.9710,0.8475,0.1110,0.9267,0.0669,4.2391,4.3963,4.8614,2.2952,-1.8152
19,0.9528,0.9287,0.9714,0.8499,0.1182,0.9283,0.0671,4.3132,4.4755,4.9355,2.3558,-1.7818
20,0.9540,0.9302,0.9717,0.8548,0.1262,0.9298,0.0629,4.3452,4.5047,4.9773,2.3668,-1.7323
21,0.9539,0.9316,0.9738,0.8538,0.1298,0.9311,0.0650,4.3893,4.5574,5.0183,2.3954,-1.7286
22,0.9543,0.9323,0.9742,0.8537,0.1514,0.9318,0.0634,4.4432,4.6029,5.0933,2.4121,-1.6392
23,0.9549,0.9342,0.9751,0.8583,0.1485,0.9336,0.0631,4.4944,4.6539,5.1480,2.4564,-1.6425
24,0.9554,0.9354,0.9750,0.8594,0.1586,0.9344,0.0642,4.5327,4.6865,5.2032,2.4628,-1.5977
25,0.9557,0.9373,0.9766,0.8596,0.1723,0.9360,0.0615,4.5748,4.7322,5.2481,2.4855,-1.5461
26,0.9561,0.9380,0.9772,0.8625,0.1896,0.9371,0.0569,4.6241,4.7919,5.2873,2.5312,-1.4946
27,0.9564,0.9391,0.9780,0.8645,0.1846,0.9382,0.0571,4.6804,4.8370,5.3731,2.5386,-1.4747
28,0.9570,0.9395,0.9787,0.8663,0.1983,0.9390,0.0569,4.7192,4.8812,5.4080,2.5722,-1.4447
29,0.9573,0.9419,0.9794,0.8667,0.2033,0.9404,0.0545,4.7601,4.9145,5.4730,2.5668,-1.3993
30,0.9580,0.9427,0.9796,0.8698,0.2271,0.9415,0.0536,4.8154,4.9812,5.5153,2.6263,-1.3743
31,0.9584,0.9434,0.9807,0.8721,0.2163,0.9425,0.0546,4.8669,5.0172,5.5925,2.6523,-1.3438
32,0.9589,0.9456,0.9821,0.8729,0.2300,0.9443,0.0521,4.8955,5.0577,5.6134,2.6637,-1.2827
33,0.9592,0.9468,0.9820,0.8727,0.2379,0.9448,0.0501,4.9738,5.1324,5.7065,2.7136,-1.2590
34,0.9591,0.9468,0.9823,0.8737,0.2437,0.9451,0.0498,5.0035,5.1640,5.7358,2.7386,-1.2331
35,0.9606,0.9492,0.9824,0.8778,0.2610,0.9469,0.0481,5.0328,5.1925,5.7660,2.7642,-1.1494
36,0.9612,0.9503,0.9834,0.8808,0.2668,0.9483,0.0486,5.1206,5.2829,5.8696,2.8060,-1.1879
37,0.9611,0.9501,0.9843,0.8802,0.2704,0.9485,0.0472,5.1383,5.3035,5.8792,2.8355,-1.1252
38,0.9618,0.9516,0.9841,0.8826,0.2992,0.9497,0.0474,5.1792,5.3262,5.9451,2.8603,-1.0849
39,0.9625,0.9529,0.9852,0.8861,0.2920,0.9512,0.0447,5.2359,5.4007,5.9877,2.9048,-1.0674
40,0.9632,0.9547,0.9858,0.8884,0.2992,0.9525,0.0431,5.3028,5.4706,6.0482,2.9794,-0.9765
41,0.9638,0.9560,0.9857,0.8886,0.3100,0.9532,0.0453,5.3572,5.5150,6.1172,3.0264,-0.9861
42,0.9645,0.9572,0.9859,0.8920,0.3252,0.9545,0.0429,5.4059,5.5901,6.1508,3.0357,-0.9260
43,0.9651,0.9579,0.9870,0.8946,0.3417,0.9557,0.0431,5.4673,5.6462,6.2129,3.1144,-0.9068
44,0.9661,0.9598,0.9881,0.8977,0.3396,0.9574,0.0444,5.5447,5.7400,6.2832,3.1622,-0.8484
45,0.9665,0.9604,0.9886,0.8987,0.3655,0.9582,0.0406,5.5910,5.7823,6.3337,3.2074,-0.7703
46,0.9678,0.9619,0.9891,0.9031,0.3778,0.9598,0.0404,5.6661,5.8687,6.4045,3.2633,-0.7653
47,0.9679,0.9620,0.9887,0.9038,0.3749,0.9598,0.0401,5.7277,5.9410,6.4484,3.3438,-0.7142
48,0.9694,0.9643,0.9889,0.9064,0.3901,0.9614,0.0356,5.7763,6.0135,6.4629,3.4180,-0.6731
49,0.9700,0.9653,0.9905,0.9094,0.4074,0.9631,0.0366,5.8736,6.1181,6.5610,3.4901,-0.5797
50,0.9705,0.9667,0.9908,0.9115,0.4146,0.9641,0.0378,5.9457,6.1758,6.6639,3.5219,-0.5826
